Address,URL,Title
"Jamaica, Queens",https://newyork.craigslist.org/que/egr/d/project-architect/6342644865.html,Project Architect
"Jamaica, Queens",https://newyork.craigslist.org/que/egr/d/junior-architect/6342635637.html,Junior Architect
Long Island City,https://newyork.craigslist.org/que/egr/d/professionals-needed-to-share/6342634584.html,Professionals Needed to Share Prof'l/Law Suite
New York,https://newyork.craigslist.org/mnh/egr/d/junior-architect-draft-person/6342453101.html,Junior Architect/Draft person
Forest Hills,https://newyork.craigslist.org/que/egr/d/junior-and-intern-level/6342409803.html,Junior and Intern Level Architect
Upper West Side,https://newyork.craigslist.org/mnh/egr/d/intern-student-for-small-busy/6342069724.html,Intern student for small busy office.
BAYSIDE/FLUSHING,https://newyork.craigslist.org/que/egr/d/junior-architect-draftsperson/6341725843.html,JUNIOR ARCHITECT/DRAFTSPERSON
Midtown West,https://newyork.craigslist.org/mnh/egr/d/top-expediting-firm-immediate/6341693357.html,Top Expediting Firm- Immediate Hires- Asst. Project Mgr / Project Mgr
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/mechanical-hvac-engineer/6341609889.html,Mechanical (HVAC) Engineer
Clinton Hill,https://newyork.craigslist.org/brk/egr/d/junior-architectural-designer/6341369523.html,"Junior Architectural Designer Position - Contracted, Part-Time"
Midtown,https://newyork.craigslist.org/mnh/egr/d/project-manager-kitchen-and/6341305647.html,PROJECT MANAGER - KITCHEN AND BATHROOM
Midtown West,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6340964235.html,Junior Architect
,https://newyork.craigslist.org/brk/egr/d/hiring-expediters-class-2-and/6340866046.html,Hiring Expediters. Class 2 and Class 1 Filing Reps for DOB and ECB
"Norwalk, CT",https://newyork.craigslist.org/fct/egr/d/plumbing-and-fire-protection/6340691115.html,Plumbing and Fire Protection Engineer/Designer
"Norwalk, CT",https://newyork.craigslist.org/fct/egr/d/engineer-designer-electrical/6340687592.html,Engineer/Designer Electrical
"Norwalk, CT",https://newyork.craigslist.org/fct/egr/d/mechanical-hvac-engineer/6340680395.html,Mechanical/HVAC Engineer/Designer
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/project-assistant-for-cgi/6340675670.html,PROJECT ASSISTANT for CGI Rendering & Animation Firm
Brooklyn,https://newyork.craigslist.org/brk/egr/d/seeking-real-estate-industry/6340611657.html,Seeking Real Estate Industry Mentors/Advisors//Subcontractors
NYC,https://newyork.craigslist.org/brk/egr/d/part-time-expeditor-wanted/6340592472.html,Part time expeditor wanted
,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6340477843.html,Architect / Drafter
Downtown,https://newyork.craigslist.org/mnh/egr/d/dob-nyfd-m-applications/6340441399.html,"DOB, NYFD, L/M APPLICATIONS"
Chelsea,https://newyork.craigslist.org/mnh/egr/d/residential-project-architect/6340361018.html,Residential Project Architect -
,https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6340348043.html,Interior Design Project Manager for Luxury Furniture Brand
Union Square,https://newyork.craigslist.org/mnh/egr/d/revit-architect-designer/6340334338.html,Revit Architect/Designer - Commercial/Institutional
Flatiron,https://newyork.craigslist.org/mnh/egr/d/revit-project-architect/6340325953.html,Revit Project Architect
"Bergen County, NJ",https://newyork.craigslist.org/jsy/egr/d/entry-level-position-at/6340219460.html,Entry Level Position at Architectural Firm
Bronx-Westchester,https://newyork.craigslist.org/wch/egr/d/looking-asphalt-concrete/6340148350.html,Looking asphalt/ concrete workers
Westchester,https://newyork.craigslist.org/wch/egr/d/construction-coordination/6339879007.html,Construction Coordination Associate
Midtown East,https://newyork.craigslist.org/mnh/egr/d/what-makes-great-assistant/6339851633.html,What makes a GREAT ASSISTANT/JUNIOR DESIGNER AT MY FIRM?
Midtown East,https://newyork.craigslist.org/mnh/egr/d/wanted-designer-for/6339844185.html,WANTED:  DESIGNER FOR RESIDENTIAL INTERIORS / DESIGN-BUILD
Upper East Side,https://newyork.craigslist.org/mnh/egr/d/junior-interior-design-with/6339840443.html,Junior Interior Design - with autocad for interior design/build
Brooklyn,https://newyork.craigslist.org/brk/egr/d/office-worker-wanted-with/6339790680.html,Office Worker wanted with knowledge of business/architect/blueprint
Brooklyn,https://newyork.craigslist.org/brk/egr/d/project-mechanical-engineer/6339585159.html,Project/Mechanical Engineer
Midtown West,https://newyork.craigslist.org/mnh/egr/d/midtown-boutique-property/6339562539.html,Midtown Boutique property looking for an ENGINEER
Princeton,https://newyork.craigslist.org/mnh/egr/d/architects/6339420410.html,Architects
,https://newyork.craigslist.org/mnh/egr/d/project-architect/6339408694.html,Project Architect
"Long Island City, Queens, NY",https://newyork.craigslist.org/que/egr/d/construction-site-supervisor/6339396492.html,***CONSTRUCTION SITE SUPERVISOR ****NYCSCA PROJECTS***
,https://newyork.craigslist.org/brk/egr/d/project-construction-manager/6339116920.html,Project/ Construction Manager
Staten Island,https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate/6339096405.html,Architect -Full Time-Immediate Hire
Midtown East,https://newyork.craigslist.org/mnh/egr/d/full-time-construction-office/6339028409.html,FULL TIME CONSTRUCTION OFFICE / PERSONAL ASSISTANT
,https://newyork.craigslist.org/wch/egr/d/tenant-build-out-oversight/6338940253.html,Tenant Build-out Oversight Engineer
Brooklyn,https://newyork.craigslist.org/brk/egr/d/estimator-project-manager/6338326125.html,Estimator / Project Manager
New York,https://newyork.craigslist.org/mnh/egr/d/civil-engineering-technology/6337852881.html,Civil Engineering Technology Position
,https://newyork.craigslist.org/brx/egr/d/draftsman/6337841367.html,Draftsman
Queens,https://newyork.craigslist.org/que/egr/d/hvac-assistant-project-manager/6337135265.html,HVAC Assistant Project Manager
SoHo,https://newyork.craigslist.org/mnh/egr/d/junior-intermediate-architect/6337098151.html,Junior/Intermediate Architect
"Melville, NY",https://newyork.craigslist.org/lgi/egr/d/project-engineer-project/6337014847.html,"Project Engineer/Project Manager-Industrial, Power, Waste"
Staten Island,https://newyork.craigslist.org/stn/egr/d/kitchen-and-bath-designer/6336747443.html,Kitchen and bath designer
NEW YORK,https://newyork.craigslist.org/que/egr/d/entry-level-architect/6335841148.html,ENTRY LEVEL ARCHITECT
,https://newyork.craigslist.org/mnh/egr/d/construction-site-safety/6335779713.html,Construction Site Safety
,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6335778440.html,Construction Project Manager
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6335686134.html,Facade / Building Envelope Project Architect or Engineer
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6335684448.html,Exterior Restoration / Recent Graduate
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6335679471.html,Facade / Building Envelope Engineer or Architect
Manhattan,https://newyork.craigslist.org/mnh/egr/d/autocad-draftsperson-jr/6335483995.html,AutoCAD Draftsperson/Jr Draftsperson Positions for Site Safety Plans
Midtown West,https://newyork.craigslist.org/mnh/egr/d/project-engineer/6335420946.html,Project Engineer
Midtown East,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6335418270.html,Procurement Project Manager with Design/Architecture background needed
Midtown,https://newyork.craigslist.org/mnh/egr/d/deputy-facilities-manager/6335416811.html,Deputy Facilities Manager
gowanus,https://newyork.craigslist.org/brk/egr/d/freelance-drafter-expertise/6334188408.html,freelance drafter -expertise in  residential construction documents
Financial District,https://newyork.craigslist.org/mnh/egr/d/construction-administrator/6334076879.html,Construction Administrator
Bronx-Hunts Point,https://newyork.craigslist.org/brx/egr/d/metal-and-glass-fabricators/6333895802.html,Metal and Glass Fabricators Seeking Estimator & AutoCAD Draftsman
Union Square,https://newyork.craigslist.org/mnh/egr/d/controller-architectural-firm/6333849871.html,Controller-Architectural Firm
Brooklyn,https://newyork.craigslist.org/brk/egr/d/estimator-for-structural/6333667212.html,Estimator for Structural Steel & Miscellaneous
Upper Manhattan,https://newyork.craigslist.org/mnh/egr/d/junior-level-interior/6333343370.html,Junior Level Interior Designer - Rendering Skills Required
Midtown,https://newyork.craigslist.org/mnh/egr/d/project-manager/6333065339.html,Project Manager
Whitestone,https://newyork.craigslist.org/que/egr/d/wireless-rf-telecom/6333024077.html,Wireless/RF Telecom Technician (Bucket Truck Operator)
Midtown,https://newyork.craigslist.org/mnh/egr/d/pm-asst-pm-estimator-asst/6332910184.html,PM/ Asst. PM / Estimator / Asst. Estimator * STONE / TILE
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/project-assistant-for-cgi/6332850230.html,PROJECT ASSISTANT for CGI Rendering & Animation Firm
SoHo,https://newyork.craigslist.org/mnh/egr/d/sr-designer-ffe/6332763967.html,Sr. Designer / FF&E
White Plains,https://newyork.craigslist.org/wch/egr/d/project-architect-immediate/6332711541.html,PROJECT ARCHITECT (IMMEDIATE HIRE)
SoHo,https://newyork.craigslist.org/mnh/egr/d/experienced-staff-architect/6332480746.html,"Experienced Staff Architect - Full-time, Established Firm"
"Tarrytown, NY",https://newyork.craigslist.org/mnh/egr/d/space-planner-70-75k/6332399984.html,Space Planner - $70 - $75K
East Harlem,https://newyork.craigslist.org/mnh/egr/d/architectural-drafter/6332316870.html,ARCHITECTURAL DRAFTER
Midtown West,https://newyork.craigslist.org/mnh/egr/d/architecture-firm-seeking-dob/6332287011.html,Architecture Firm Seeking DOB Class 2 Filing Rep / PM
Midtown West,https://newyork.craigslist.org/mnh/egr/d/associate-project-manager/6332197699.html,Associate Project Manager
Tarrytown,https://newyork.craigslist.org/wch/egr/d/junior-to-mid-level/6331948444.html,Junior to Mid-Level Architectural Drafting Work
"Flushing, NY",https://newyork.craigslist.org/que/egr/d/architect/6331905906.html,Architect
,https://newyork.craigslist.org/que/egr/d/bid-specialist-construction/6331432590.html,Bid Specialist (Construction)
Financial District,https://newyork.craigslist.org/mnh/egr/d/architectural-draftsman/6331371451.html,Architectural Draftsman/Designer Needed | Multi-Disciplinary Firms
Midtown,https://newyork.craigslist.org/mnh/egr/d/part-time-studio-assistant/6331356505.html,Part-Time Studio Assistant
Brooklyn,https://newyork.craigslist.org/brk/egr/d/intermediate-interior/6331267546.html,Intermediate Interior Designer & Project Manager
Upper East Side,https://newyork.craigslist.org/mnh/egr/d/junior-interior-design-with/6331057965.html,Junior Interior Design - with autocad for interior design/build
BROOKLYN,https://newyork.craigslist.org/brk/egr/d/looking-for-autocad-drafter/6330354902.html,LOOKING FOR AUTOCAD DRAFTER ( EXTERIOR DETAIL WORK)
New York,https://newyork.craigslist.org/mnh/egr/d/class-2-filing-representative/6330147470.html,CLASS 2 FILING REPRESENTATIVE WANTED DOB FDNY HPD ECB DOT DEP LPC NYC
"Greenwich, CT",https://newyork.craigslist.org/fct/egr/d/sketchup-freelance-work-for/6330094249.html,SketchUp freelance work for Interior Designer
Midtown East,https://newyork.craigslist.org/mnh/egr/d/interior-designer-internship/6329963569.html,Interior Designer Internship
Midtown West,https://newyork.craigslist.org/mnh/egr/d/architectural-design-firm/6329793355.html,Architectural Design Firm Seeking Experienced Associate Architect
Williamsburg,https://newyork.craigslist.org/brk/egr/d/sm-creative-architecture-firm/6329670721.html,Sm. creative Architecture firm looking for part-time Jr Position
Midtown West,https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6329666829.html,Senior Project Architect / Coordinator
Midtown,https://newyork.craigslist.org/mnh/egr/d/architect-project-manager/6329607348.html,Architect - Project Manager | Corporate Interiors | Workplace
College Point,https://newyork.craigslist.org/que/egr/d/entry-level-architect/6329596504.html,Entry Level Architect
Financial District,https://newyork.craigslist.org/mnh/egr/d/interior-designer-needed/6329519428.html,Interior Designer Needed
Midtown West,https://newyork.craigslist.org/mnh/egr/d/intermediate-senior-interior/6329516509.html,Intermediate & Senior Interior Designer / Project Manager
Flatiron,https://newyork.craigslist.org/mnh/egr/d/millwork-project-manager/6329498786.html,Millwork Project Manager
KEW GARDENS,https://newyork.craigslist.org/que/egr/d/license-professional-engineer/6329478021.html,LICENSE PROFESSIONAL ENGINEER NEEDED FOR BUSY QUEENS OFFICE
Staten Island,https://newyork.craigslist.org/stn/egr/d/experienced-bim-project/6328585439.html,EXPERIENCED BIM PROJECT MANAGER
BROOKLYN HEIGHTS,https://newyork.craigslist.org/brk/egr/d/drafter/6328190644.html,DRAFTER
BAYSIDE/FLUSHING,https://newyork.craigslist.org/que/egr/d/junior-architect-draftsperson/6327893459.html,JUNIOR ARCHITECT/DRAFTSPERSON
SoHo,https://newyork.craigslist.org/mnh/egr/d/landscape-designer/6326556120.html,Landscape Designer
Lower East Side,https://newyork.craigslist.org/mnh/egr/d/architect-junior-architect/6326542404.html,"Architect / Junior Architect (City Hall, NYC)"
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6326406851.html,Facade / Building Envelope Project Architect or Engineer
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6326405413.html,Exterior Restoration / Recent Graduate
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6326403557.html,Facade / Building Envelope Engineer or Architect
,https://newyork.craigslist.org/que/egr/d/civil-engineer/6326315291.html,Civil Engineer
Westchester,https://newyork.craigslist.org/wch/egr/d/project-plan-administrator/6326304537.html,Project Plan Administrator for Estimating Department
,https://newyork.craigslist.org/mnh/egr/d/construction-site-safety/6326202027.html,Construction Site Safety
,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6326199135.html,Construction Project Manager
"GREAT NECK, NY",https://newyork.craigslist.org/lgi/egr/d/architectural-designer-auto/6326166937.html,ARCHITECTURAL DESIGNER/AUTO CAD DRAFTERS
Chinatown,https://newyork.craigslist.org/que/egr/d/mechanical-electrical/6326074451.html,Mechanical & Electrical Engineers -Entry or Mid level (Full Time)
Long Island City,https://newyork.craigslist.org/mnh/egr/d/cnc-operator/6326037599.html,CNC operator
Long Island City,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6326033966.html,Draftsperson Detailer
New York City,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6325964504.html,Plumbing/Fire Protection Engineer
Midtown,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6325961593.html,Plumbing/ Fire Protection Engineer
Chelsea,https://newyork.craigslist.org/mnh/egr/d/part-time-architectural-and/6325918296.html,Part-time architectural and interior designer draftsperson
Midtown,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6325854808.html,PLUMBING FIRE PROTECTION DESIGN/ENGINEERS
Midtown East,https://newyork.craigslist.org/mnh/egr/d/graphic-designer-with-brand/6325805910.html,Graphic Designer with Brand Development/ Marketing Background
Union Square,https://newyork.craigslist.org/mnh/egr/d/tech-integrator-seeking/6325700369.html,Tech Integrator Seeking Architect
,https://newyork.craigslist.org/que/egr/d/general-construction-estimator/6325250234.html,General Construction Estimator
Brooklyn,https://newyork.craigslist.org/brk/egr/d/event-designer/6325071529.html,Event Designer
Chelsea,https://newyork.craigslist.org/mnh/egr/d/interior-designer/6325070390.html,Interior Designer
,https://newyork.craigslist.org/mnh/egr/d/construction-site-supervisor/6325062094.html,Construction Site Supervisor
Upper East Side,https://newyork.craigslist.org/mnh/egr/d/administrative-design-office/6325049058.html,Administrative/Design/Office Assistant
,https://newyork.craigslist.org/mnh/egr/d/expeditor-dob-filling/6324960551.html,Expeditor DOB filling representative class 2 lic.
,https://newyork.craigslist.org/que/egr/d/junior-architect/6324905614.html,Junior Architect
Midtown,https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/6324897290.html,Junior Architectural Designer | Luxury Retail
Midtown,https://newyork.craigslist.org/mnh/egr/d/hotel-mechanic/6324885039.html,Hotel Mechanic
Park Avenue South,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6324859196.html,Intermediate Architect
,https://newyork.craigslist.org/lgi/egr/d/estimator-structural-steel/6324799552.html,"Estimator - Structural Steel Erection - Queens, NY"
Chelsea,https://newyork.craigslist.org/mnh/egr/d/junior-architect-2-5-years/6324334871.html,Junior Architect - 2 - 5 Years Experience
Queens,https://newyork.craigslist.org/que/egr/d/project-architects/6324310940.html,Project Architect(s)
,https://newyork.craigslist.org/wch/egr/d/construction-project-engineer/6323975870.html,Construction Project Engineer
,https://newyork.craigslist.org/wch/egr/d/construction-administrative/6323965293.html,Construction Administrative Assistant
,https://newyork.craigslist.org/mnh/egr/d/architect-designer/6323661585.html,Architect/Designer
Midtown,https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6323613753.html,Senior Project Architect
Murray Hill,https://newyork.craigslist.org/mnh/egr/d/junior-construction-project/6323597791.html,Junior Construction Project Manager | Healthcare Facilities
Nolita / Bowery,https://newyork.craigslist.org/mnh/egr/d/bim-synchro-navis-sketchup-4/6323583670.html,BIM: SYNCHRO - NAVIS - SKETCHUP --- 4-D SEQUENCING WITH SYNCHRO
Chelsea,https://newyork.craigslist.org/mnh/egr/d/junior-architect-designer/6323224447.html,Junior Architect/ Designer
White Plains,https://newyork.craigslist.org/brx/egr/d/construction-administrator/6323188483.html,Construction Administrator
Elmsford,https://newyork.craigslist.org/wch/egr/d/upholster-needed/6323186429.html,Upholster Needed
,https://newyork.craigslist.org/brk/egr/d/mechanical-design-engineering/6323111129.html,Mechanical Design Engineering
Long Island,https://newyork.craigslist.org/lgi/egr/d/civil-engineer-architect/6323003558.html,Civil Engineer/ Architect/ Construction Estimator - Near LIRR
Flatiron,https://newyork.craigslist.org/mnh/egr/d/intermediate-senior-architect/6323001562.html,Intermediate/Senior Architect | Aviation/Airport Projects
DOUGLASTON,https://newyork.craigslist.org/que/egr/d/seeking-project-manager/6322956232.html,Seeking Project Manager / Office Manager for Contractor & Design Firm
Newark,https://newyork.craigslist.org/jsy/egr/d/architect/6322870016.html,Architect
Garden City,https://newyork.craigslist.org/lgi/egr/d/assistant-construction/6322197815.html,Assistant Construction Estimator/ Assistant Project Manager
Bronx-Hunts Point,https://newyork.craigslist.org/brx/egr/d/metal-and-glass-fabricators/6322152758.html,Metal and Glass Fabricators Seeking Estimator & AutoCAD Draftsman
,https://newyork.craigslist.org/mnh/egr/d/senior-engineer/6322132346.html,Senior Engineer
Greenwich Village,https://newyork.craigslist.org/mnh/egr/d/preservation-exterior/6322086050.html,Preservation/Exterior Envelope Project Manager
East Harlem,https://newyork.craigslist.org/mnh/egr/d/cad-drafting-needed/6322077360.html,CAD DRAFTING NEEDED
Brooklyn,https://newyork.craigslist.org/brk/egr/d/construction-project-manager/6322070195.html,Construction Project Manager
Greenwich Village,https://newyork.craigslist.org/mnh/egr/d/preservation-exterior/6322058489.html,Preservation/Exterior Envelope Project Architect
,https://newyork.craigslist.org/brk/egr/d/mechanical-engineer-product/6321819871.html,Mechanical Engineer & Product Designer
Queens,https://newyork.craigslist.org/que/egr/d/draftsperson-architectural/6321767941.html,Draftsperson / Architectural Woodwork
,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6321742468.html,Construction Project Manager
,https://newyork.craigslist.org/que/egr/d/expediter-wanted-class-2/6321648317.html,EXPEDITER WANTED CLASS 2
SoHo,https://newyork.craigslist.org/mnh/egr/d/healthcare-architect/6321637555.html,Healthcare Architect
Midtown West,https://newyork.craigslist.org/mnh/egr/d/data-science-engineer/6321601106.html,Data Science Engineer
NEW YORK,https://newyork.craigslist.org/mnh/egr/d/administrative-assist/6321595736.html,ADMINISTRATIVE ASSIST
SoHo,https://newyork.craigslist.org/mnh/egr/d/junior-intermediate-architect/6321079365.html,Junior/Intermediate Architect
NYC,https://newyork.craigslist.org/brk/egr/d/architect-revit-drafter/6320969550.html,ARCHITECT  - REVIT DRAFTER
